Pregunta,Valor_d_Ideal
¿Quién fue Alan Turing?,1.1
¿Dónde trabajó Turing durante la Segunda Guerra Mundial?,1.2
¿Qué dirigió Alan Turing en Bletchley Park?,2.1
¿Qué es la arquitectura RAG y cómo mejora los modelos de lenguaje?,2.5
¿En qué año se propuso el Test de Turing?,1.0
¿Qué máquina ayudó a descifrar los mensajes de la máquina Enigma utilizada por los nazis?,2.8
¿Cuál es la nacionalidad del creador de la máquina Bombe?,3.2
¿Qué es el Test de Turing?,1.1
¿Qué buscaba descifrar Hut 8?,2.4
¿Quién es considerado el padre de la ciencia de la computación?,1.0
